pattern,hier_cell,lut,ff,dsp,slr,bbox
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U14,378,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U22,375,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U30,375,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U38,375,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U46,375,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U54,378,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U6,378,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U62,378,33,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U67,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U71,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U75,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U79,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U83,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U87,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U91,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8ns_16_4_0_U95,58,31,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U66,158,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U68,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U70,159,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U72,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U74,159,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U76,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U78,159,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U80,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U82,159,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U84,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U86,159,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U88,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U90,158,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U92,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U94,158,34,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_8s_16_4_0_U96,173,37,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U100/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U100/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U101/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U101/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U102/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U102/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U103/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U103/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U104/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U104/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U97/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U97/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U98/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U98/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U99/u1,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U99/u2,9,0,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2045,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2046,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2047,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2048,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2049,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2050,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2051,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/add_18s_18s_18_2_0_U2052,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1933,0,21,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1942,0,21,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1951,7,21,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1960,7,21,0,"",""
